nhm_id,time,min,max,mean,median,sum,area
84682,2016-03-01,0.0,43.0,10.436,8.0,9869.886,179.072
84682,2016-04-01,15.0,67.0,28.045,28.0,26859.482,181.274
84682,2016-05-01,28.0,91.0,60.69,61.0,58123.71,181.274
84682,2016-06-01,37.0,130.0,98.589,102.533,94420.118,181.274
84682,2016-07-01,86.0,152.0,129.022,131.0,123566.741,181.274
84682,2016-08-01,49.0,110.0,88.561,91.0,84816.722,181.274
84682,2016-09-01,34.0,82.0,57.506,58.0,55074.384,181.274
84682,2016-10-01,28.0,61.0,44.463,45.0,42582.89,181.274
84682,2016-11-01,9.0,28.0,20.851,21.0,19969.298,181.274
84682,2016-12-01,1.0,12.0,8.413,9.0,8056.847,181.274
84683,2016-01-01,0.0,8.0,1.702,1.0,1588.149,175.036
84683,2016-02-01,0.0,20.0,2.005,0.0,1870.004,175.036
84683,2016-03-01,0.0,45.0,9.812,7.0,9143.467,174.852
84683,2016-04-01,16.0,65.0,29.811,28.0,27810.157,175.036
84683,2016-05-01,35.0,78.0,57.485,57.0,53627.71,175.036
84683,2016-06-01,68.0,139.0,107.157,109.0,99966.42,175.036
84683,2016-07-01,84.0,166.0,137.467,138.0,128241.796,175.036
84683,2016-08-01,55.0,108.0,90.151,92.0,84101.063,175.036
84683,2016-09-01,29.0,88.0,52.764,48.0,49223.6,175.036
84683,2016-10-01,25.0,72.0,48.15,48.0,44919.137,175.036
84683,2016-11-01,13.0,28.0,21.056,21.0,19642.714,175.036
84683,2016-12-01,2.0,15.0,8.048,9.0,7507.886,175.036
84684,2016-01-01,2.0,16.0,7.819,8.0,51813.651,1230.02
84684,2016-02-01,0.0,28.0,17.082,18.0,113193.278,1230.02
84684,2016-03-01,13.0,51.0,28.009,27.97,185597.749,1230.02
84684,2016-04-01,13.0,60.0,29.761,28.0,197210.031,1230.02
84684,2016-05-01,32.0,115.0,75.791,75.512,502216.506,1230.02
84684,2016-06-01,64.0,169.0,143.642,149.932,951821.792,1230.02
84684,2016-07-01,44.0,170.0,137.958,142.0,914162.671,1230.02
84684,2016-08-01,44.0,133.0,110.491,113.0,732152.416,1230.02
84684,2016-09-01,25.0,111.0,86.196,91.0,571169.671,1230.02
84684,2016-10-01,18.0,78.0,56.511,58.488,374459.561,1230.02
84684,2016-11-01,6.0,29.0,18.505,19.0,122619.745,1230.02
84684,2016-12-01,1.0,21.0,8.489,9.0,56251.098,1230.02
84685,2016-01-01,3.0,13.0,5.613,5.0,10535.231,348.787
84685,2016-02-01,11.0,30.0,17.41,17.0,32677.725,348.787
84685,2016-03-01,17.0,64.0,30.511,30.0,57266.69,348.787
84685,2016-04-01,22.0,82.0,48.023,47.0,90136.384,348.787
84685,2016-05-01,22.0,98.0,64.97,72.0,121944.573,348.787
84685,2016-06-01,32.0,154.0,117.812,120.0,221126.439,348.787
84685,2016-07-01,75.0,169.0,133.973,135.0,251460.898,348.787
84685,2016-08-01,76.0,131.0,109.566,111.0,205649.635,348.787
84685,2016-09-01,34.0,108.0,74.021,75.0,138933.396,348.787
84685,2016-10-01,34.0,82.0,61.319,62.0,115092.196,348.787
84685,2016-11-01,10.0,31.0,18.615,19.0,34938.769,348.787
84685,2016-12-01,2.0,22.0,7.22,7.0,13552.18,348.787
84687,2016-01-01,1.0,13.0,4.812,4.0,1867.0,71.188
84687,2016-02-01,8.0,29.0,17.737,17.0,6882.0,71.188
84687,2016-03-01,24.0,63.0,36.031,35.0,13980.0,71.188
84687,2016-04-01,33.0,75.0,55.124,57.0,21388.0,71.188
84687,2016-05-01,49.0,114.0,77.451,80.0,30051.0,71.188
84687,2016-06-01,75.0,144.0,120.399,122.0,46715.0,71.188
